,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
SPY,1.0,0.7949794218766615,0.721526480675112,0.793836994283781,0.7894043230871204,0.8128218541472272,0.5907582972312897,0.8008479853717734,0.8191395350167204,0.7806422300572443
EWU,0.7949794218766615,1.0,0.7016856422539578,0.863696029220356,0.8849806516612512,0.817065285592385,0.6515155708338117,0.8306601948954752,0.8408995215723039,0.8450259762855905
EWJ,0.721526480675112,0.7016856422539578,1.0,0.7032777837407613,0.6984314263746207,0.6562581121669001,0.5220989540392298,0.6870364018115209,0.7069102620840946,0.6817879235038792
EWG,0.793836994283781,0.863696029220356,0.7032777837407613,1.0,0.9437651930090714,0.7616326216314802,0.6624587430979919,0.7737189153747214,0.9078201786416293,0.8872254568578952
EWQ,0.7894043230871204,0.8849806516612512,0.6984314263746207,0.9437651930090714,1.0,0.7697076751966584,0.6731433156648372,0.7868101300745526,0.9103599603540984,0.8885357863433585
EWC,0.8128218541472272,0.817065285592385,0.6562581121669001,0.7616326216314802,0.7697076751966584,1.0,0.5763952135991983,0.8262311174377613,0.7514678117386622,0.7685246875687876
EWL,0.5907582972312897,0.6515155708338117,0.5220989540392298,0.6624587430979919,0.6731433156648372,0.5763952135991983,1.0,0.591233534164716,0.6548304416642019,0.6526833349951046
EWA,0.8008479853717734,0.8306601948954752,0.6870364018115209,0.7737189153747214,0.7868101300745526,0.8262311174377613,0.591233534164716,1.0,0.7669142354486578,0.778530295875938
EWN,0.8191395350167204,0.8408995215723039,0.7069102620840946,0.9078201786416293,0.9103599603540984,0.7514678117386622,0.6548304416642019,0.7669142354486578,1.0,0.8764724518341233
EWD,0.7806422300572443,0.8450259762855905,0.6817879235038792,0.8872254568578952,0.8885357863433585,0.7685246875687876,0.6526833349951046,0.778530295875938,0.8764724518341233,1.0
